"filename", "language", "JavaScript", "SCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"e:\Go IT\React\Art-of-War\src\pages\UnitsPage\UnitsPage.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 5, 20
"e:\Go IT\React\Art-of-War\src\pages\WelcomePage\WelcomePage.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 5, 33
"e:\Go IT\React\Art-of-War\src\pages\WelcomePage\WelcomePage.module.scss", "SCSS", 0, 42, 0, 0, 0, 4, 46
"e:\Go IT\React\Art-of-War\src\routes\PrivateRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"e:\Go IT\React\Art-of-War\src\routes\RestrictedRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"e:\Go IT\React\Art-of-War\src\routes\routes.js", "JavaScript", 183, 0, 0, 0, 7, 18, 208
"e:\Go IT\React\Art-of-War\src\sass\_breakpoints.scss", "SCSS", 0, 30, 0, 0, 0, 6, 36
"e:\Go IT\React\Art-of-War\src\sass\_mixins.scss", "SCSS", 0, 12, 0, 0, 0, 2, 14
"e:\Go IT\React\Art-of-War\src\sass\_variables.scss", "SCSS", 0, 17, 0, 0, 1, 3, 21
"e:\Go IT\React\Art-of-War\src\sass\index.scss", "SCSS", 0, 39, 0, 0, 0, 7, 46
"e:\Go IT\React\Art-of-War\src\sass\styles.scss", "SCSS", 0, 3, 0, 0, 0, 1, 4
"Total", "-", 36278, 1357, 2170, 14, 1208, 826, 41853
